epoch,acc,loss,val_acc,val_loss
0,0.290954056242,1.90642671073,0.173864593864,2.06102860097
1,0.35894667181,1.71501189287,0.296461424416,1.81096470909
2,0.407816364237,1.5843021004,0.42254112031,1.54323051209
3,0.439200250827,1.50111254048,0.471579852332,1.42418926893
4,0.465881779267,1.43264386305,0.471022592608,1.46075388881
5,0.480093350563,1.38840185512,0.496795791633,1.35012094292
6,0.487024974778,1.36313592662,0.513234915193,1.32487305354
7,0.504092793246,1.32430295089,0.519364750877,1.31569524463
8,0.51081542378,1.30426869313,0.512677650783,1.38739900337
9,0.516249259895,1.28866160064,0.497074419997,1.37999162938
10,0.526977602882,1.26820409471,0.548760128236,1.22914967709
11,0.530460831102,1.25440336772,0.53928673805,1.24821026823
12,0.535720505799,1.24514820509,0.541515772337,1.25653120691
13,0.540039708842,1.22642181961,0.526330483636,1.28285533282
14,0.544602737878,1.22153917497,0.55920872123,1.19676413579
15,0.549688251069,1.20992106924,0.564502679042,1.21253870443
16,0.551882684883,1.20460961044,0.567428284699,1.19919997392
17,0.55749068241,1.19009888036,0.552382309412,1.212100653
18,0.55735135328,1.18276585518,0.538590165143,1.28781253929
19,0.561461562636,1.17728122907,0.531903066586,1.24139988576
